timestamp,glucose
2026-01-01 00:00:00,113.52
2026-01-01 00:15:00,106.1
2026-01-01 00:30:00,119.08
2026-01-01 00:45:00,106.92
2026-01-01 01:00:00,116.38
2026-01-01 01:15:00,113.69
2026-01-01 01:30:00,113.39
2026-01-01 01:45:00,109.42
2026-01-01 02:00:00,105.19
2026-01-01 02:15:00,117.42
2026-01-01 02:30:00,126.43
2026-01-01 02:45:00,113.73
2026-01-01 03:00:00,115.68
2026-01-01 03:15:00,116.86
2026-01-01 03:30:00,122.04
2026-01-01 03:45:00,117.88
2026-01-01 04:00:00,114.15
2026-01-01 04:15:00,122.17
2026-01-01 04:30:00,124.21
2026-01-01 04:45:00,119.7
2026-01-01 05:00:00,124.67
2026-01-01 05:15:00,116.46
2026-01-01 05:30:00,114.99
2026-01-01 05:45:00,118.16
2026-01-01 06:00:00,117.68
2026-01-01 06:15:00,124.02
2026-01-01 06:30:00,125.98
2026-01-01 06:45:00,122.61
2026-01-01 07:00:00,123.04
2026-01-01 07:15:00,123.19
2026-01-01 07:30:00,116.18
2026-01-01 07:45:00,105.07
2026-01-01 08:00:00,150.11
2026-01-01 08:15:00,155.92
2026-01-01 08:30:00,147.58
2026-01-01 08:45:00,156.41
2026-01-01 09:00:00,151.57
2026-01-01 09:15:00,152.25
2026-01-01 09:30:00,116.62
2026-01-01 09:45:00,120.38
2026-01-01 10:00:00,111.8
2026-01-01 10:15:00,112.81
2026-01-01 10:30:00,117.98
2026-01-01 10:45:00,105.66
2026-01-01 11:00:00,114.2
2026-01-01 11:15:00,104.66
2026-01-01 11:30:00,108.13
2026-01-01 11:45:00,100.47
2026-01-01 12:00:00,105.79
2026-01-01 12:15:00,107.44
2026-01-01 12:30:00,103.04
2026-01-01 12:45:00,112.11
2026-01-01 13:00:00,151.91
2026-01-01 13:15:00,156.22
2026-01-01 13:30:00,139.4
2026-01-01 13:45:00,161.43
2026-01-01 14:00:00,149.31
2026-01-01 14:15:00,148.5
2026-01-01 14:30:00,99.18
2026-01-01 14:45:00,103.2
